Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature1,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature2,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder
486.4,3.1,8.5,-2.3,50,0,15.7,2,0,0,0,4.7,1089,25,12.9,29.8,22.5,85,0,25,37.6,2.3,65.2,29.8,230,1,15,508,0,3040,0,1,894.8,3,81,14.9,14,14,14.8,895.3,1,0,5,14,0.1,1,1.1,0,0.4,0,-5.5,994,E,2,
486.4,0,9.4,0.8,16,0,16.5,4,0,0,0,2.3,1295,22.3,15.2,20.6,30,85,0,22.3,34.1,2.3,64.8,20.6,230,1,15,508,0,3040,0,1,1204.5,3,93,19.9,18.7,19,19.8,1205.3,1,0,5,19,0,1,1.1,0,0.1,0,1.5,1108,H,2,
652.8,7,10.4,0.8,62,0,17.3,1,0,0,0,2.3,1121,32,15.2,41.6,20.3,74,0,32,49.8,2.3,65.2,41.6,230,1,15,508,0,3040,0,1,310.5,1,43,1.9,1.1,1,1.9,315.3,1,0,5,1,1.3,1,1,0,0,68,85.2,196,J,1,
358.4,0,6.6,1.6,63,0,14.5,6,0,0,0,-0.8,669,23.4,16.4,14.5,-2.3,87,0,23.4,52.5,2,53.5,14.6,230,1,15,508,0,3040,0,1,0,1,99,0,0,0,0,0,1,0,5,0,-0.1,2,17.2,0,-0.1,0,6.2,1334,A,2,
1075.2,0,13.6,-4.7,29,0,20,2,0,0,0,2.3,1581,39.8,15.2,42,16.5,84,0,39.5,59.6,2,71.5,41.5,230,1,15,508,0,3040,0,1,810.3,3,85,12.8,13,13.2,12.4,812.5,1,0,5,13,0.7,1,0.9,0,0.9,28,176.7,66,C,2,
0,0,7.1,0,31,0,14.9,235,0,1,0,3.9,1398,0,12.9,-30.9,-7.5,84,0,0,22.4,0,66.4,-30.9,230,1,15,508,0,3040,0,1,1417.8,4,85,31,30,30.1,30.8,1417.8,0,1,5,29,-0.5,1,0.9,0,0.1,0,0.7,1627,H,1,
0,0,8.9,0,30,0,16.1,3,0,1,0,2.3,1838,0,14.1,-33.6,-7.5,84,0,0,21.6,0,75.8,-33.6,230,1,15,508,0,3040,0,1,1855.5,5,92,56.9,54.8,55.2,56.5,1855.3,0,1,5,54,-0.7,2,1.9,-0.5,-1.5,0,-22.9,1440,I,2,
742.4,0,8.5,1.6,6,0,16.5,4,0,0,0,2.3,1878,18.4,17.6,-18.9,25.9,85,0,18.4,29.8,2,75.8,-20.8,230,1,15,508,0,3040,0,1,1888.5,2,89,21.5,20.1,20.1,21.4,1886.8,1,0,5,20,0.1,1,0.9,0,0.1,4,1.9,83,H,2,
307.2,0,6.1,0.8,55,0,14.1,3,0,0,0,-0.8,669,19.1,16.4,6.1,-2.3,87,0,19.1,44.3,2,53.9,6,230,1,15,508,0,3040,0,1,650.5,0,97,0,0,0,0,651,1,0,0,0,0,1,1.1,0,0,0,-1.9,1454,A,1,
0,0,7.1,0,32,0,14.9,3,0,1,0,3.1,1618,0,11.7,-28.2,-7.9,84,0,0,22.4,0,71.9,-28.2,230,1,15,508,0,3040,0,1,1639,6,92,64.5,63.2,63.3,64.1,1639,0,1,5,62,-1,2,4.8,-0.5,-0.2,0,3.6,1609,D,1,
307.2,0,6.6,-3.9,0,0,14.5,6,0,0,0,3.1,943,14.8,14.5,3.5,2.6,84,0,14.8,31,2.3,59.8,3.5,230,1,15,508,0,3040,0,1,903.3,3,91,14.9,14,14,14.9,903,1,0,5,14,-0.3,2,2.3,3,0.4,0,-3.8,1005,D,2,
627.2,7.4,10.4,0,52,0,17.3,8,0,0,0,2.3,1446,25,12.9,17.3,29.6,83,0,25,36.5,2.3,68.4,16.4,230,1,15,508,0,3040,0,1,1308.8,4,82,28.6,28,28,28.4,1309.5,1,0,5,27,0.1,1,1,1,0.1,0,1.9,268,F,2,
1241.6,0,12.7,-0.8,30,0,19.2,3,0,0,0,2.3,1898,35.9,9,22.1,25.5,82,0,35.9,48.6,2.3,77.3,21.8,230,1,15,508,0,3040,0,0,1897.5,6,89,74.6,73.8,74,74.3,1897.8,0,1,5,71,0,1,1.1,1,0.1,0,1.5,659,D,2,
588.8,10.5,9.9,-6.3,51,0,16.9,3,0,0,0,3.1,1414,26.6,10.9,37.4,26.3,85,0,26.6,38,2.3,68,37.4,230,1,15,508,0,3040,0,1,1273,2,90,14.1,13.2,13.2,14,1274.3,1,0,5,13,0.3,1,1,0,-0.2,0,-1.9,2049,D,1,
409.6,0,7.1,-0.8,0,0,14.9,0,0,0,0,2.3,968,18,15.6,6.9,3,84,0,18,36.9,2.3,60.5,7.3,230,1,15,508,0,3040,0,1,892.3,3,95,14.6,14.1,14.1,14.5,891.5,1,0,5,15,-0.7,1,4.8,0,0,0,10.9,1479,B,2,
934.4,0,13.6,-3.9,46,0,19.6,6,0,0,0,3.9,1496,35.9,12.5,72,19.9,85,0,35.9,54.5,2,69.1,71.6,230,1,15,508,0,3040,0,1,1255.5,1,88,9.1,6.7,7,8.8,1262.3,1,0,5,7,0.8,1,1,0,-0.8,44,-229,106,D,2,
1932.8,0,24.9,-1.6,60,0,28.2,6,0,0,0,3.9,1929,51.6,11.7,91.4,7.1,84,0,51.6,80.8,2.3,76.6,92.3,230,1,15,508,0,3040,0,1,1923.8,5,89,58.6,57.2,57.7,58.3,1924.8,0,2,5,56,0.4,1,1.1,-1,0,0,0.1,2119,D,2,
640,0,8.9,6.3,40,0,16.1,6,0,0,0,0,1679,16.4,17.2,7.4,10.5,84,0,6.3,30.2,0,72.7,7.4,230,1,15,508,16.4,3040,0,1,1669.5,4,99,36.6,35.7,35.7,36.4,1669.3,0,2,5,35,-0.3,1,1.3,0,-0.1,0,-2.3,1566,A,2,
320,0,6.6,0,0,0,14.5,3,0,0,0,5.5,768,16,10.2,13.2,0.8,85,0,16,36.9,2,56.3,13.1,230,1,15,508,0,3040,0,0,453,1,95,3.3,1.9,2.1,3.1,449.8,1,0,5,2,-1.4,2,15.7,0,-0.2,4,-141.9,1986,B,2,
1088,0,13.2,-1.6,30,0,19.2,2,0,0,0,3.9,1865,33.2,15.6,37.6,31.5,88,0,33.2,46.7,2,76.6,37.6,230,1,15,508,0,3040,0,1,1738.8,1,91,11,11.5,12.1,10.5,1741.8,1,0,5,12,0.6,1,1.1,0,0.4,232,140,36,C,2,
307.2,0,6.6,-1.6,56,0,14.5,7,0,0,0,3.9,665,19.5,14.8,10.1,-3,84,0,19.9,45.9,2,54.3,10.4,230,1,15,508,0,3040,0,1,197.5,1,89,1.4,0.1,0.1,1.4,196.3,1,0,5,0,-0.5,2,8.3,0,0,4,10.9,407,I,1,
358.4,0,7.1,-5.5,52,0,14.9,8,0,0,0,2.3,828,18.4,14.5,9.1,-1.9,85,0,18.4,42.4,2,56.3,9,230,1,15,508,0,3040,0,1,622.3,3,88,10.3,10,10,10.1,623,1,0,5,10,0,1,1.1,0,-0.6,4,16.4,1152,F,2,
25.6,0,8.9,0,0,0,16.1,6,0,1,0,3.1,1978,0,13.7,-32.8,-7.9,81,0,0,21.2,0,77,-32.8,230,1,15,508,0,3040,0,1,1985.5,6,93,78.1,76.5,77.1,77.8,1985.8,0,1,5,74,-0.5,1,1.1,-2,0.2,0,1.9,1526,D,2,
921.6,0,12.2,-6.3,35,0,18.8,2,0,0,0,3.9,1501,37.1,11.7,58,22.1,84,0,37.1,55.3,2,69.5,57.9,230,1,15,508,0,3040,0,1,1048,1,90,7.1,6.2,6.2,7,1051.8,1,0,5,7,1.4,1,1.1,-7.5,0.1,20,16.6,2197,D,1,
371.2,6.2,9.4,-1.6,41,0,16.1,8,0,0,0,1.6,1223,18,14.8,55.8,16.9,85,0,18,30.6,2,64.1,54,230,1,15,508,0,3040,0,1,1430.5,4,86,31.3,30.1,30.2,31.1,1430.3,1,0,5,29,-0.2,1,1.1,5.5,-0.5,8,-13.4,729,F,2,
0,0,8,0,0,0,15.7,6,0,1,0,3.9,1731,0,12.9,-32,-9,85,0,0,23.5,0,74.2,-32,230,1,15,508,0,3040,0,1,1755.3,5,89,53.5,52.2,52.6,53.3,1754.8,0,1,5,51,-0.9,2,7.4,0.5,0,0,0.4,2133,D,2,
588.8,9.4,8.9,12.5,31,0,16.1,3,0,0,0,3.1,1883,17.2,12.1,21.8,36.4,84,0,17.2,22.4,2.3,76.6,21.8,230,1,15,508,0,3040,0,1,1877.3,6,92,73.9,72.1,72.2,73.4,1877.8,0,2,5,70,-0.3,1,1.1,-0.5,0.1,0,0.9,1638,D,1,
409.6,0,7.1,14.1,0,0,14.5,3,0,0,0,2.3,1667,7.4,9,-1.1,8.3,87,0,5.1,17.6,0.8,73.8,-10.2,230,1,15,508,5.1,3040,0,0,1720.3,4,90,35.6,34.3,34.5,35.4,1716,1,0,5,34,-0.2,1,1.1,4,0,0,-2.2,941,D,2,
0,0,6.6,0,0,0,14.1,0,0,1,0,3.9,1395,0,10.9,-26,-5.3,82,0,0,17.3,0,69.9,-26,230,1,15,508,0,3040,0,0,1404,3,81,23.5,22.2,22.1,23.4,1403.8,0,1,5,22,-0.7,2,2.2,0,-0.2,28,6.2,1429,B,1,
396.8,0,7.1,-3.1,0,0,14.9,4,0,0,0,3.1,806,20.3,14.8,11.5,-1.9,84,0,20.3,46.7,2,55.9,12,230,1,15,508,0,3040,0,1,589.5,1,79,4,2.8,3,3.9,588.8,1,0,5,4,-0.2,2,3.3,10,0,0,8.7,369,B,1,
1011.2,0,14.1,3.1,45,0,19.6,0,0,0,0,2.3,1764,33.2,7.8,81.9,26.6,81,0,33.2,43.9,2,77.3,81.9,230,1,15,508,0,3040,0,0,1757.5,4,44,38.4,37,37.5,38,1758.5,0,2,5,36,0.2,1,1,0.5,0,16,5.2,408,B,1,
332.8,0,6.1,-1.6,49,0,14.1,8,0,0,0,2.3,775,14.8,14.1,0.4,-5.6,86,0,14.8,40,2,55.1,0.8,230,1,15,508,0,3040,0,1,756.5,1,89,6,5.2,5.2,6,757.8,1,0,5,5,-0.2,2,0.9,0,0.1,0,2.2,2638,F,2,
396.8,3.1,7.1,-1.6,36,0,14.9,8,0,0,0,1.6,1341,17.6,14.5,6.7,29.6,86,0,17.6,27.1,2.3,66,6.7,230,1,15,508,0,3040,0,1,1326,2,90,14.8,13.9,14,14.8,1328,1,0,5,14,-0.2,1,1.1,0,0.4,0,-10.1,1998,F,2,
358.4,0,7.1,-1.6,55,0,14.9,235,0,0,0,3.1,755,19.1,14.5,9.8,-3.4,84,0,19.1,45.1,2,55.9,10.1,230,1,15,508,0,3040,0,1,541,1,57,3.6,2.1,2.1,3.6,542,1,0,5,3,0,2,2.2,0,-0.1,0,1.2,573,H,1,
883.2,0,15,0,45,0,20,2,0,0,0,2.3,2048,26.2,12.9,87,25.9,92,0,26.2,39.6,2,76.6,87.5,230,1,15,508,0,3040,0,1,2007.5,5,87,61,60,60.1,60.5,2008,0,2,5,58,-0.1,1,1.1,0,0.2,8,2.7,1211,H,1,
960,5.1,9.4,2.3,47,0,17.6,3,0,0,0,1.6,2142,23.4,13.7,-15.9,32.6,81,0,23.4,34.1,2,77.7,-16.7,230,1,15,508,0,3040,0,1,2143,6,93,84.4,82.9,84,84,2143.5,0,1,5,80,-0.2,1,1.1,-3.5,0.1,0,0.5,1329,I,2,
332.8,0,6.1,2.3,32,0,14.1,255,0,0,0,5.5,1106,10.5,12.5,1.7,3,84,0,8.2,22.4,1.2,66,2,230,1,15,508,7.4,3040,0,1,1190.5,4,77,26,25,25,25.9,1187.8,1,0,5,24,-2.1,2,21.8,2,0,0,2.2,2587,E,1,
345.6,0,6.1,-2.3,40,0,14.1,2,0,0,0,6.3,838,13.7,12.9,-0.8,0,87,0,13.7,30.6,2,59.8,-0.8,230,1,15,508,0,3040,0,1,981.8,2,81,10.9,10,10.1,10.9,982,1,0,5,10,-0.3,1,1.1,0,-0.6,8,2.9,836,E,2,
1344,21.5,18.8,3.9,67,0,22.4,3,0,0,0,2.3,1926,38.7,14.5,86.2,17.6,83,0,38.3,53.3,2.3,77,86.5,230,1,15,508,1.6,3040,0,1,1779.5,4,91,38.8,37.8,38.2,38.5,1780.3,0,2,5,37,0.3,1,1,0,0.2,4,4.3,369,J,2,
345.6,0,7.1,-0.8,59,0,14.5,3,0,0,0,3.1,671,21.1,15.2,13.4,-2.3,86,0,21.1,48.2,2,54.7,13.8,230,1,15,508,0,3040,0,1,0,1,91,0,0,0,0,0,1,0,5,0,0,2,26,0,0.2,0,13.8,447,J,2,
422.4,0,6.6,1.6,27,0,14.1,7,0,0,0,2.3,1736,7.8,13.3,-26.6,6.4,87,0,7.8,19.2,0.8,74.2,-26.6,230,1,15,508,0,3040,0,1,1755.3,5,93,53.4,52.3,52.5,53.1,1755.5,0,1,5,51,-0.4,1,1.2,2,0.1,0,7.6,1137,I,1,
0,0,9.4,0,33,0,16.9,2,0,1,0,0.8,1952,0,14.5,-35.1,-9,81,0,0,23.5,0,77,-35.1,230,1,15,508,0,3040,0,1,1974.8,6,90,77.9,76.3,76.8,77.5,1975.3,0,1,5,74,-0.4,1,1.2,-3.5,0.1,0,1,968,G,1,
332.8,0,7.1,-0.8,0,0,14.5,1,0,0,0,3.1,670,20.7,14.5,13.3,-2.3,87,0,20.7,47.5,2,54.3,13.3,230,1,15,508,0,3040,0,1,0,1,89,0,0,0,0,0,1,0,5,0,0,2,20.6,0,0.1,0,3.4,324,G,2,
1036.8,0,11.3,-3.1,24,0,18.8,2,0,0,0,2.3,1846,30.9,15.6,2,30,84,0,30.9,45.1,2.3,75,2,230,1,15,508,0,3040,0,1,1844.3,3,71,30.8,29.8,30,30.5,1845.5,1,0,5,29,0.3,1,1,0,-0.3,12,-2.1,545,H,1,
294.4,0,6.1,3.1,44,0,14.1,255,0,0,0,4.7,734,15.6,13.7,3,-0.4,75,0,15.6,34.1,2,59.4,3,230,1,15,508,0,3040,0,1,658,0,38,0,0,0,0,658.8,1,0,6,0,-0.6,2,28.2,0,0,0,-10.5,533,E,1,
972.8,0,14.6,0.8,45,0,19.6,0,0,0,0,3.1,1993,29.7,9.4,103.5,27.8,83,0,29.7,39.6,2,78.9,103.5,230,1,15,508,0,3040,0,0,1924,5,79,58.5,57.7,58,58.1,1925,0,2,5,56,0,1,1,0,-0.2,4,2.2,1292,B,1,
588.8,0,9.9,2.3,20,0,16.9,2,0,0,0,3.1,1758,19.1,14.8,48.4,27,83,0,19.1,27.5,2,75,48.3,230,1,15,508,0,3040,0,1,1719.8,3,91,28.3,27.3,27.4,28,1718.8,0,2,5,27,-0.1,1,1.1,0,0.4,8,15.2,2429,D,2,
371.2,0,7.1,-3.1,54,0,14.9,3,0,0,0,3.1,786,19.5,14.5,14,-1.5,85,0,19.9,45.1,2,55.9,14.3,230,1,15,508,0,3040,0,1,516,1,93,3.5,2.1,2.1,3.4,516.3,1,0,5,3,0.2,2,1.5,1,-0.2,0,5.8,2661,J,2,
729.6,0,6.6,8.6,31,0,14.5,255,0,0,0,1.6,1983,10.5,14.5,-10.9,8.6,84,0,10.2,22,1.2,78.1,-11,230,1,15,508,0,3040,0,1,1992.5,6,84,78.5,77.2,77.8,78,1992.8,0,2,5,75,-0.3,1,1.1,-1,0.2,0,-0.9,1578,C,1,
166.4,0,8,2.3,0,0,15.3,4,0,1,0,2.3,1948,0.8,14.5,-33.9,-3,85,0,0.8,16.5,0,77,-33.9,230,1,15,508,0,3040,0,1,1957.3,6,94,76.9,76,76.1,76.5,1957.5,0,1,5,73,-0.4,1,1.1,-1,0.1,0,3.4,1283,G,1,
307.2,0,7.1,-0.8,55,0,14.5,3,0,0,0,3.9,667,19.1,13.7,12.5,-2.6,87,0,19.1,44.3,2,54.3,12.5,230,1,15,508,0,3040,0,1,0,1,89,0,0,0,0,0,1,0,5,0,-0.1,2,16.9,0,0.4,0,10.9,501,I,2,
512,0,8.9,-0.8,9,0,16.1,4,0,0,0,2.3,1517,19.9,15.6,7.2,32.6,84,0,19.9,29,2,68.4,7.2,230,1,15,508,0,3040,0,1,1458.8,4,94,31.9,30.3,30.4,31.8,1459.3,0,2,5,30,-0.1,1,1.1,0,0.1,0,0.2,933,H,2,
256,0,5.2,-6.3,0,0,13.3,3,0,0,0,3.9,823,11.3,10.2,1.1,-0.8,86,0,11.3,28.2,2,57.8,1.3,230,1,15,508,0,3040,0,0,810.3,1,91,9.3,8.1,8.1,9.3,810.8,1,0,5,8,-0.4,2,2.8,-0.5,0.4,0,-1.8,1404,D,2,
371.2,0,7.5,-5.5,52,0,15.3,3,0,0,0,1.6,855,19.5,15.2,11.2,0.4,84,0,19.5,42.4,2,57.4,11.3,230,1,15,508,0,3040,0,1,736.5,3,91,12.3,11.1,11,12.3,736,1,0,5,11,-0.7,2,6.1,0,-0.1,0,-40.5,1784,G,2,
345.6,0,7.1,-0.8,61,0,14.9,0,0,0,0,2.3,668,21.9,15.2,14.3,-2.6,87,0,21.9,49.8,2,54.3,14.8,230,1,15,508,0,3040,0,1,0,1,72,0,0,0,0,0,1,0,5,0,-0.1,2,17.4,0,0,0,3.5,648,F,1,
0,0,7.1,0,32,0,14.9,6,0,1,0,0,1672,0,14.1,-34.2,-8.3,90,0,0,23.5,0,72.3,-34.2,230,1,15,508,0,3040,0,1,1695,6,97,66.6,65.5,65.7,66.3,1694.8,0,1,5,64,-0.9,2,5.8,1,0.3,0,6.3,945,A,2,
435.2,0,8,4.7,0,0,15.3,2,0,0,0,2.3,1239,16.8,16.4,1.3,13.5,85,0,16.8,28.6,2.3,65.6,1.2,230,1,15,508,0,3040,0,1,1245.5,3,85,19.8,18.2,18.2,19.8,1243.5,1,0,5,18,-0.2,1,1,1,-0.2,16,-1,57,C,2,
307.2,0,5.7,0.8,36,0,13.7,3,0,0,0,3.1,976,10.9,12.9,-4,-3,84,0,11.3,26.3,2.3,61.3,-4.2,230,1,15,508,0,3040,0,1,1325.3,4,83,28.9,27.8,28,28.8,1323.8,1,0,5,28,-1.7,2,18,-0.5,0.2,0,3.4,904,D,1,
0,0,5.2,0,0,0,13.3,4,0,1,0,3.1,1164,0,7.8,-19.6,-7.5,89,0,0,17.6,0,62.9,-19.6,230,1,15,508,0,3040,0,0,1847.8,4,92,40.1,39.6,39.8,40,1847.5,1,0,5,39,-0.4,1,1.1,4,0.3,0,20.3,713,G,1,
448,3.1,7.1,-0.8,37,0,15.3,8,0,0,0,2.3,1494,17.6,13.7,4.8,34.1,84,0,17.6,25.5,2,68.8,4.8,230,1,15,508,0,3040,0,1,1449,3,88,24,22.9,23.1,23.9,1449.3,0,2,5,23,0,1,1,2,0.3,4,-0.8,1085,F,2,
422.4,0,6.1,0,40,0,14.1,0,0,0,0,2.3,1201,16.4,14.8,-6.4,11.3,84,0,16.4,28.6,2.3,64.8,-6.7,230,1,15,508,0,3040,0,1,1153,1,87,8.3,7.9,8,8.3,1152.8,1,0,5,7,0.1,1,1.1,0,-0.2,0,-3.7,2850,F,1,
76.8,0,6.1,-0.8,27,0,14.1,1,0,0,0,3.1,1301,8.2,12.5,-9.3,7.9,54,0,8.2,18.8,2.3,70.3,-9.3,230,1,15,508,0,3040,0,0,1300.5,4,40,30,28.3,28.3,29.8,1299.5,0,1,5,27,-0.6,2,3.5,2,-1.2,40,-54.4,107,J,1,
320,0,7.1,-0.8,0,0,14.5,1,0,0,0,3.9,672,19.9,14.1,13.9,-2.6,87,0,19.9,46.7,2,54.3,14.1,230,1,15,508,0,3040,0,1,144,1,90,1,0.1,0.1,1,144,1,0,5,0,-0.2,2,5.1,0,-0.1,52,-202.5,1950,G,2,
448,0,7.5,0.8,4,0,15.3,2,0,0,0,2.3,1872,13.7,14.1,1,33,90,0,13.7,19.2,2.3,75,1,230,1,15,508,0,3040,0,1,1872.3,6,89,73.8,72.1,72.1,73.3,1872.8,0,1,5,70,-0.3,1,1.1,-0.5,0,0,0.8,1268,H,1,
384,0,7.5,-3.1,0,0,15.3,2,0,0,0,3.1,795,20.3,14.5,11.3,-1.5,85,0,20.7,47.5,2,55.5,11.8,230,1,15,508,0,3040,0,1,161,1,95,1.3,0.6,0.5,1.1,158.5,1,0,5,0,-0.7,2,19.4,13,-0.1,0,0.3,1781,I,2,
460.8,0,6.6,2.3,34,0,14.5,3,0,0,0,0,1558,14.8,17.2,-11.7,16.9,86,0,14.8,24.3,2,70.3,-11.4,230,1,15,508,0,3040,0,1,1623.5,2,98,17.1,18,18.1,16.9,1623.3,1,0,5,18,-0.5,2,1.3,0,1.7,12,192.3,1538,A,1,
896,0,11.8,-3.1,31,0,18,2,0,0,0,2.3,1779,30.1,13.7,43.2,31.1,84,0,30.1,41.6,2.3,75.8,43.2,230,1,15,508,0,3040,0,1,1638.5,4,90,35.9,34.1,34.1,35.8,1639,0,2,5,34,0.1,1,1,-1,-0.1,8,-13.1,1474,C,2,
294.4,0,6.1,2.3,51,0,14.1,3,0,0,0,3.1,669,17.6,14.5,6.7,-1.1,87,0,17.6,40.8,2,54.3,6.8,230,1,15,508,0,3040,0,1,0,1,76,0,0,0,0,0,1,0,5,0,0.1,2,20.9,0,0,0,13.9,345,D,1,
409.6,0,8,-0.8,0,0,15.7,2,0,0,0,2.3,877,20.7,14.5,18.8,4.9,86,0,20.7,42,2,57,18.7,230,1,15,508,0,3040,0,1,696.3,3,93,11.4,10.6,10.7,11.3,693.5,1,0,5,11,-1.6,2,16.8,0,-0.6,32,9.8,875,I,2,
332.8,0,7.1,1.6,52,0,14.9,3,0,0,0,3.9,760,18.4,14.5,12.5,1.5,86,0,18.4,41.6,2,55.1,12.9,230,1,15,508,0,3040,0,1,657.8,1,92,4.5,4,4,4.4,656.5,1,0,5,4,-0.7,2,5.7,0,-0.6,0,8.7,1201,J,2,
345.6,0,7.1,-1.6,59,0,14.5,1,0,0,0,3.1,682,21.5,15.2,13.1,-3.8,76,0,21.5,48.2,2,56.3,12.9,230,1,15,508,0,3040,0,1,236,1,45,1.5,0.1,0.1,1.5,236.8,1,0,5,0,0.1,1,2,0,0,0,-0.8,235,J,1,
